At itteration 94 Test data , total error of 0.1252, Training Data, total error of 0.1206
At itteration 95 Test data , total error of 0.1306, Training Data, total error of 0.1256
At itteration 96 Test data , total error of 0.131, Training Data, total error of 0.1272
At itteration 97 Test data , total error of 0.1314, Training Data, total error of 0.1258
At itteration 98 Test data , total error of 0.131, Training Data, total error of 0.1248
At itteration 99 Test data , total error of 0.1318, Training Data, total error of 0.1258
At itteration 100 Test data , total error of 0.131, Training Data, total error of 0.1248
At itteration 101 Test data , total error of 0.1308, Training Data, total error of 0.1236
At itteration 102 Test data , total error of 0.1308, Training Data, total error of 0.1236
At itteration 103 Test data , total error of 0.1254, Training Data, total error of 0.1194
At itteration 104 Test data , total error of 0.1308, Training Data, total error of 0.1236
At itteration 105 Test data , total error of 0.1308, Training Data, total error of 0.1236
At itteration 106 Test data , total error of 0.1304, Training Data, total error of 0.1236
At itteration 107 Test data , total error of 0.131, Training Data, total error of 0.1238
At itteration 108 Test data , total error of 0.131, Training Data, total error of 0.124
At itteration 109 Test data , total error of 0.1308, Training Data, total error of 0.1238
At itteration 110 Test data , total error of 0.1304, Training Data, total error of 0.1238
At itteration 111 Test data , total error of 0.1308, Training Data, total error of 0.1238
At itteration 112 Test data , total error of 0.1306, Training Data, total error of 0.1228
At itteration 113 Test data , total error of 0.1306, Training Data, total error of 0.1228
At itteration 114 Test data , total error of 0.1308, Training Data, total error of 0.1234
At itteration 115 Test data , total error of 0.1312, Training Data, total error of 0.1234
At itteration 116 Test data , total error of 0.131, Training Data, total error of 0.123
At itteration 117 Test data , total error of 0.1308, Training Data, total error of 0.1238
At itteration 118 Test data , total error of 0.1308, Training Data, total error of 0.1238
At itteration 119 Test data , total error of 0.1298, Training Data, total error of 0.124
At itteration 120 Test data , total error of 0.1536, Training Data, total error of 0.147
At itteration 121 Test data , total error of 0.1628, Training Data, total error of 0.158
At itteration 122 Test data , total error of 0.2008, Training Data, total error of 0.1894
At itteration 123 Test data , total error of 0.2004, Training Data, total error of 0.1882
At itteration 124 Test data , total error of 0.2006, Training Data, total error of 0.1886
At itteration 125 Test data , total error of 0.2006, Training Data, total error of 0.1886
At itteration 126 Test data , total error of 0.2006, Training Data, total error of 0.1886
At itteration 127 Test data , total error of 0.2004, Training Data, total error of 0.1894
At itteration 128 Test data , total error of 0.2006, Training Data, total error of 0.1886
At itteration 129 Test data , total error of 0.2004, Training Data, total error of 0.1894
At itteration 130 Test data , total error of 0.2008, Training Data, total error of 0.1894
At itteration 131 Test data , total error of 0.1798, Training Data, total error of 0.1682
At itteration 132 Test data , total error of 0.1798, Training Data, total error of 0.1682
At itteration 133 Test data , total error of 0.1798, Training Data, total error of 0.1682
At itteration 134 Test data , total error of 0.1798, Training Data, total error of 0.1682
At itteration 135 Test data , total error of 0.1952, Training Data, total error of 0.1824
At itteration 136 Test data , total error of 0.1788, Training Data, total error of 0.168
At itteration 137 Test data , total error of 0.2002, Training Data, total error of 0.188
At itteration 138 Test data , total error of 0.2002, Training Data, total error of 0.188
At itteration 139 Test data , total error of 0.2002, Training Data, total error of 0.188
At itteration 140 Test data , total error of 0.2002, Training Data, total error of 0.1888
At itteration 141 Test data , total error of 0.2002, Training Data, total error of 0.1888
At itteration 142 Test data , total error of 0.2188, Training Data, total error of 0.2036
At itteration 143 Test data , total error of 0.1998, Training Data, total error of 0.1878
At itteration 144 Test data , total error of 0.2008, Training Data, total error of 0.1882
At itteration 145 Test data , total error of 0.2008, Training Data, total error of 0.1884
At itteration 146 Test data , total error of 0.2338, Training Data, total error of 0.2234
At itteration 147 Test data , total error of 0.1974, Training Data, total error of 0.184
At itteration 148 Test data , total error of 0.2346, Training Data, total error of 0.224
At itteration 149 Test data , total error of 0.2136, Training Data, total error of 0.1984
At itteration 150 Test data , total error of 0.2006, Training Data, total error of 0.1882
At itteration 151 Test data , total error of 0.2014, Training Data, total error of 0.1892
At itteration 152 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 153 Test data , total error of 0.2016, Training Data, total error of 0.1898
At itteration 154 Test data , total error of 0.2006, Training Data, total error of 0.189
At itteration 155 Test data , total error of 0.2016, Training Data, total error of 0.1894
At itteration 156 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 157 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 158 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 159 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 160 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 161 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 162 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 163 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 164 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 165 Test data , total error of 0.2006, Training Data, total error of 0.19
At itteration 166 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 167 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 168 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 169 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 170 Test data , total error of 0.2006, Training Data, total error of 0.1892
At itteration 171 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 172 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 173 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 174 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 175 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 176 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 177 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 178 Test data , total error of 0.184, Training Data, total error of 0.1746
At itteration 179 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 180 Test data , total error of 0.184, Training Data, total error of 0.1746
At itteration 181 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 182 Test data , total error of 0.2004, Training Data, total error of 0.189
At itteration 183 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 184 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 185 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 186 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 187 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 188 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 189 Test data , total error of 0.2004, Training Data, total error of 0.1898
At itteration 190 Test data , total error of 0.2, Training Data, total error of 0.1912
At itteration 191 Test data , total error of 0.2008, Training Data, total error of 0.1892
At itteration 192 Test data , total error of 0.185, Training Data, total error of 0.1764
At itteration 193 Test data , total error of 0.2014, Training Data, total error of 0.1926
At itteration 194 Test data , total error of 0.2062, Training Data, total error of 0.1966
At itteration 195 Test data , total error of 0.2062, Training Data, total error of 0.1966
At itteration 196 Test data , total error of 0.1898, Training Data, total error of 0.1822
At itteration 197 Test data , total error of 0.2062, Training Data, total error of 0.1966
